Keyword	Reserved
ADD	yes
AGGREGATE	yes
ALL	no
ALLOW	yes
ALTER	yes
AND	yes
ANY	yes
APPLY	yes
AS	no
ASC	yes
ASCII	no
AUTHORIZE	yes
BATCH	yes
BEGIN	yes
BIGINT	no
BLOB	no
BOOLEAN	no
BY	yes
CLUSTERING	no
COLUMNFAMILY	yes
COMPACT	no
CONSISTENCY	no
COUNT	no
COUNTER	no
CREATE	yes
CUSTOM	no
DECIMAL	no
DELETE	yes
DESC	yes
DISTINCT	no
DOUBLE	no
DROP	yes
EACH_QUORUM	yes
ENTRIES	yes
EXISTS	no
FILTERING	no
FLOAT	no
FROM	yes
FROZEN	no
FULL	yes
GRANT	yes
IF	yes
IN	yes
INDEX	yes
INET	yes
INFINITY	yes
INSERT	yes
INT	no
INTO	yes
KEY	no
KEYSPACE	yes
KEYSPACES	yes
LEVEL	no
LIMIT	yes
LIST	no
LOCAL_ONE	yes
LOCAL_QUORUM	yes
MAP	no
MATERIALIZED	yes
MODIFY	yes
NAN	yes
NORECURSIVE	yes
NOSUPERUSER	no
NOT	yes
OF	yes
ON	yes
ONE	yes
ORDER	yes
PARTITION	yes
PASSWORD	yes
PER	yes
PERMISSION	no
PERMISSIONS	no
PRIMARY	yes
QUORUM	yes
RENAME	yes
REVOKE	yes
SCHEMA	yes
SELECT	yes
SET	yes
STATIC	no
STORAGE	no
SUPERUSER	no
TABLE	yes
TEXT	no
TIME	yes
TIMESTAMP	no
TIMEUUID	no
THREE	yes
TO	yes
TOKEN	yes
TRUNCATE	yes
TTL	no
TUPLE	no
TWO	yes
TYPE	no
UNLOGGED	yes
UPDATE	yes
USE	yes
USER	no
USERS	no
USING	yes
UUID	no
VALUES	no
VARCHAR	no
VARINT	no
VIEW	yes
WHERE	yes
WITH	yes
WRITETIME	no
